shotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,speedFromLastEvent,team,teamCode,time,timeDifferenceSinceChange,timeSinceFaceoff,timeSinceLastEvent,timeUntilNextEvent,xCord,xCordAdjusted,xFroze,xGoal,xPlayContinuedInZone,xPlayContinuedOutsideZone,xPlayStopped,xRebound,xShotWasOnGoal,yCord,yCordAdjusted
25,23,-82,82,-22,22,0,0,0,0,5,CHI,1,33.2,44,9,26,9,9,2,3,54,54,9,26,9,9,26,34,9,26,9,9,14,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,102,1,0,GIVE,0,0,AWAY,-96,96,-22,22,AWAYZONE,0,1,15,0,C,2025,L,Anton Lundell,8482113,9,9,14,18.5,9,11,9,9,2,3,19,19,9,15,9,9,9,18,9,9,9,9,72.34987578,72.34987578,0,0,0,23.08679276,0,0,0,0,1,0,0,0,WRIST,1,2.333333333,HOME,FLA,882,0,9,6,9,-82,82,0.0992924,0.0266403,0.511406,0.297145,0.0169053,0.0486111,0.700997,-22,22
26,68,-30,30,-33,33,-4.4,0,0,0,5,CHI,1,66.2,77,42,59,42,42,2,3,87,87,42,59,42,42,59,67,42,59,42,42,72.02777242,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,105,1,0,HIT,0,0,AWAY,-28,28,39,-39,AWAYZONE,0,1,42,0,D,2025,L,Gustav Forsling,8478055,52,42,40.8,36,31,44,42,37.6,2,3,52,52,42,48,42,42,20,20,20,42,42,20,29.21924669,29.21924669,0,0,0,67.60177512,0,1,0,0,0,0,0,0,SLAP,1,4.001542912,HOME,FLA,915,-22,42,18,2,-30,30,0.147656,0.012653,0.461117,0.321564,0.0235653,0.0334445,0.612657,-33,33
27,8.062257748,-81,81,1,1,0,0,0,0,5,CHI,1,8,8,8,8,8,8,2,3,8,8,8,8,8,8,8,8,8,8,8,8,4.123105626,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,109,1,0,BLOCK,0,0,HOME,-82,82,5,-5,AWAYZONE,1,1,23,0,C,2025,L,Carter Verhaeghe,8477409,8,8,10.2,13.5,8,8,8,8,2,3,19,19,8,8,8,8,8,8,8,8,8,8,-7.125016349,7.125016349,0,0,0,8.062257748,0,0,0,1,0,0,0,0,BACK,1,4.123105626,HOME,FLA,925,0,8,1,21,-81,81,0.301883,0.261346,0.192029,0.122017,0.0314661,0.0912591,0.948233,1,-1
28,8.602325267,-84,84,7,7,0,0,0,0,5,CHI,1,29,29,29,29,29,29,2,3,29,29,29,29,29,29,29,29,29,29,29,29,6.708203933,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,110,1,0,SHOT,-7.125016349,8.062257748,HOME,-81,81,1,-1,AWAYZONE,1,1,9,23,C,2025,L,Sam Bennett,8477935,29,29,31.2,34.5,29,29,29,29,2,3,40,40,29,29,29,29,29,29,29,29,29,29,-54.46232221,54.46232221,47.33730586,2.254157422,0,8.602325267,0,1,0,0,0,0,0,0,BACK,1,0.319438283,HOME,FLA,946,0,29,21,1,-84,84,0.129797,0.0655393,0.423909,0.296971,0.0154436,0.0683394,0.843403,7,-7
29,12,77,77,2,2,0,0,0,0,5,CHI,1,31.6,44.5,23,23,23,23,2,3,45,45,23,23,23,23,23,44,23,23,23,23,77.02596965,MISS,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,120,0,0,FAC,0,0,HOME,0,0,0,0,HOMEZONE,0,1,28,0,L,2025,L,Andre Burakovsky,8477444,23,23,29.6,39.5,23,23,23,23,2,3,50,50,23,23,23,23,23,29,23,23,23,23,9.462322208,9.462322208,0,0,0,12.16552506,0,0,0,0,1,0,0,0,SNAP,0,3.348955202,AWAY,CHI,1033,0,23,23,49,77,77,0.118179,0.166977,0.357245,0.273068,0.0219628,0.0625675,0.867702,2,2
30,31,-60,60,11,11,3.4,0,0,0,5,CHI,1,23.4,24,24,23,23,23.4,2,3,26,24,24,26,26,26,18,24,24,18,18,18,87.09190548,MISS,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,128,1,0,GIVE,0,0,HOME,24,-24,-12,12,AWAYZONE,1,1,15,0,C,2025,L,Anton Lundell,8482113,24,24,26.8,28,28,26,26,26.8,2,3,28,28,28,27,27,28,24,28,28,24,24,24,-20.77225468,20.77225468,0,0,0,31.01612484,0,0,0,1,0,0,0,0,WRIST,0,7.25765879,HOME,FLA,1164,6,154,12,5,-60,60,0.143584,0.0580304,0.436667,0.294975,0.0206499,0.046094,0.698425,11,-11
31,35,-60,60,-20,20,3.4,0,0,0,5,CHI,1,28.4,29,29,28,28,28.4,2,3,31,29,29,31,31,31,23,29,29,23,23,23,31,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,129,1,0,MISS,-20.77225468,31.01612484,HOME,-60,60,11,-11,AWAYZONE,0,1,27,15,C,2025,L,Eetu Luostarinen,8480185,32,32,31.8,33,33,31,31,31.8,2,3,33,33,33,32,32,33,29,33,33,29,29,29,34.59228869,34.59228869,55.36454337,11.07290867,1,35.22782991,0,0,0,0,1,0,0,0,SNAP,1,6.2,HOME,FLA,1169,6,159,5,8,-60,60,0.156647,0.0452504,0.416768,0.31808,0.0226425,0.0406121,0.71916,-20,20
32,23,-68,68,-10,10,12,0,0,0,5,CHI,1,32,50,50,20,20,32,2,3,50,50,50,20,20,50,20,50,50,20,20,20,143,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,139,0,0,BLOCK,0,0,HOME,75,-75,-10,10,HOMEZONE,0,2,95,0,R,2025,L,Ilya Mikheyev,8481624,50,50,44,35,35,50,50,44,2,3,50,50,50,50,50,50,20,20,20,50,50,20,25.46334506,25.46334506,25.46334506,1.273167253,0,23.2594067,0,0,0,0,1,0,0,0,WRIST,1,7.15,AWAY,CHI,1250,0,50,20,19,-68,68,0.106876,0.0716713,0.370863,0.386382,0.0207364,0.0434711,0.712244,-10,10
33,30,-63,63,-15,15,-4.4,0,0,0,5,CHI,1,24.4,20,20,27.33333333,27.33333333,24.4,2,3,30,20,20,30,30,30,20,20,20,25,25,20,7.071067812,GOAL,20001,1,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,140,0,0,SHOT,25.46334506,23.2594067,AWAY,-68,68,-10,10,HOMEZONE,0,2,86,95,,2025,L,Teuvo Teravainen,8476882,17,17,20,20,20,20,20,20,2,3,20,20,20,20,20,20,20,20,20,20,20,20,29.98163937,29.98163937,4.518294307,0.237804964,0,30.01666204,0,0,0,0,0,0,0,0,WRIST,1,0.372161464,AWAY,CHI,1269,0,69,19,0,-63,63,0.144571,0.0444917,0.440987,0.30613,0.0219822,0.0418386,0.701417,-15,15
34,9.219544457,82,82,-6,6,0,0,0,0,5,CHI,2,17,17,17,17,17,17,2,3,17,17,17,17,17,17,17,17,17,17,17,17,68.02940541,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,160,1,0,FAC,0,0,HOME,20,20,22,22,AWAYZONE,1,2,23,0,C,2025,L,Carter Verhaeghe,8477409,17,17,17,17,17,17,17,17,2,3,17,17,17,17,17,17,17,17,17,17,17,17,-40.60129465,40.60129465,0,0,0,9.219544457,0,1,0,0,0,0,0,0,BACK,1,4.00172973,HOME,FLA,1498,0,17,17,2,82,82,0.141152,0.0901162,0.403112,0.274162,0.0194113,0.0720475,0.870327,-6,-6
35,20,74,74,13,13,0,0,0,0,5,CHI,2,31,31,31,31,31,31,2,3,31,31,31,31,31,31,31,31,31,31,31,31,122.1556384,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,164,1,0,HIT,0,0,HOME,-37,-37,-38,-38,AWAYZONE,0,2,23,0,C,2025,L,Carter Verhaeghe,8477409,50,31,50,50,31,50,31,31,2,3,50,50,31,50,31,31,50,50,31,50,31,31,40.91438322,40.91438322,0,0,0,19.84943324,0,0,0,0,1,0,0,0,WRIST,1,5.089818268,HOME,FLA,1531,0,31,24,18,74,74,0.112767,0.0692475,0.436404,0.302825,0.0202087,0.0585486,0.734464,13,13
36,61,-42,42,-39,39,-2.8,0,0,0,5,CHI,2,40.8,37,37,43.33333333,43.33333333,40.8,2,3,54,54,54,46,46,54,20,20,20,39,39,20,64.19501538,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,167,0,0,GIVE,0,0,AWAY,19,-19,-19,19,HOMEZONE,0,2,44,0,,2025,,Wyatt Kaiser,8482176,20,20,38,31.5,31.5,42.33333333,42.33333333,38,2,3,43,43,43,43,43,43,20,20,20,42,42,20,39.68545433,39.68545433,0,0,0,61.07372594,0,0,0,0,1,0,0,0,WRIST,1,1.888088688,AWAY,CHI,1585,0,85,34,13,-42,42,0.191375,0.00773637,0.438456,0.308238,0.0267828,0.0274107,0.693175,-39,39
37,62,-28,28,-13,13,-4.8,0,0,0,5,CHI,2,55.8,55,55,56.33333333,56.33333333,55.8,2,3,67,67,67,59,59,67,43,43,43,52,52,43,29.52964612,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,168,0,0,SHOT,39.68545433,61.07372594,AWAY,-42,42,-39,39,HOMEZONE,0,2,44,44,D,2025,,Wyatt Kaiser,8482176,33,33,51,44.5,44.5,55.33333333,55.33333333,51,2,3,56,56,56,56,56,56,33,33,33,55,55,33,12.0305961,12.0305961,27.65485823,2.127296787,0,62.36986452,0,1,0,0,0,0,0,0,SNAP,1,2.27151124,AWAY,CHI,1598,-10,98,13,2,-28,28,0.17819,0.0185058,0.449067,0.295134,0.0179492,0.0411538,0.668344,-13,13
38,35,55,55,-8,8,0,0,0,0,5,CHI,2,9,9,9,9,9,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,124.7878199,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,171,1,0,FAC,0,0,HOME,-69,-69,-22,-22,AWAYZONE,0,2,5,0,D,2025,R,Aaron Ekblad,8477932,9,9,33.2,9,9,49.33333333,9,9,2,3,70,9,9,70,9,9,9,9,9,9,9,9,-13.24051992,13.24051992,0,0,0,34.92849839,0,0,0,1,0,0,0,0,SLAP,1,13.86531332,HOME,FLA,1609,0,9,9,4,55,55,0.1937,0.0595876,0.400306,0.277366,0.0296464,0.0393937,0.729901,-8,-8
39,26,79,79,24,24,-29,0,0,0,5,CHI,2,46,46,46,46,46,46,2,3,46,46,46,46,46,46,46,46,46,46,46,46,66.3098786,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,175,1,0,GIVE,0,0,AWAY,53,53,-37,-37,AWAYZONE,0,2,9,0,C,2025,L,Sam Bennett,8477935,21,21,17,20,20,15,15,17,2,3,21,20,20,21,21,21,12,20,20,12,12,12,67.38013505,67.38013505,0,0,0,26,0,0,0,0,1,0,0,0,WRIST,1,11.05164643,HOME,FLA,1646,-34,46,6,21,79,79,0.120239,0.0252114,0.512119,0.281757,0.0195621,0.0411119,0.701396,24,24
40,59,42,42,35,35,10.4,0,0,0,5,CHI,2,20,20,20,20,20,20,2,3,20,20,20,20,20,20,20,20,20,20,20,20,38.60051813,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,176,1,0,SHOT,67.38013505,26,HOME,79,79,24,24,AWAYZONE,0,2,9,9,C,2025,L,Sam Bennett,8477935,42,42,30.4,22,22,36,36,30.4,2,3,42,22,22,42,42,42,22,22,22,33,33,22,36.67434967,36.67434967,30.70578538,1.462180256,0,58.6003413,0,1,0,0,0,0,0,0,WRIST,1,1.838119911,HOME,FLA,1667,2,67,21,2,42,42,0.217642,0.00788553,0.394913,0.327068,0.0225819,0.0299101,0.728477,35,35
41,62,-33,33,26,26,0,0,0,0,5,CHI,2,24.6,39,15,15,15,15,2,3,39,39,15,15,15,15,15,39,15,15,15,15,102.0784012,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,179,0,0,FAC,0,0,AWAY,69,-69,22,-22,HOMEZONE,0,2,5,0,D,2025,R,Connor Murphy,8476473,28,15,26.8,28,15,26,15,15,2,3,30,28,15,30,15,15,20,28,15,20,15,15,-24.90476881,24.90476881,0,0,0,61.74139616,0,1,0,0,0,0,0,0,SLAP,1,6.805226749,AWAY,CHI,1684,0,15,15,2,-33,33,0.15799,0.0125882,0.441985,0.325819,0.0219559,0.0396625,0.649825,26,-26
42,30,-69,69,-23,23,0,0,0,0,5,CHI,2,35.6,50,9,26,9,9,2,3,50,50,9,26,9,9,26,50,9,26,9,9,72.73238618,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,184,0,0,DELPEN,0,0,HOME,0,0,0,0,HOMEZONE,0,2,48,0,D,2025,L,Matt Grzelcyk,8476891,9,9,9,9,9,9,9,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,48.9909131,48.9909131,0,0,0,30.47950131,0,0,0,1,0,0,0,0,SNAP,1,72.73238618,AWAY,CHI,1695,0,9,1,2,-69,69,0.283604,0.0687641,0.352528,0.218041,0.0348049,0.0422574,0.838645,-23,23
43,8,81,81,0,0,-17.25,0,0,0,5,CHI,2,51.8,54,43,51.25,43,43,1,4,54,54,43,54,43,43,43,54,43,43,43,43,108.7795937,SHOT,20001,0,8481519,Spencer Knight,0,120,77,4,FLA,2,1,189,1,0,GIVE,0,0,AWAY,-27,-27,-13,-13,AWAYZONE,0,2,71,0,,2025,R,Luke Kunin,8479316,9,9,25.75,20,20,31.5,31.5,25.75,2,2,43,20,20,43,43,43,20,20,20,20,20,20,0,0,0,0,0,8,0,0,0,0,1,0,0,0,WRIST,1,5.438979684,HOME,FLA,1740,-23,43,20,26,81,81,0.0851874,0.235519,0.218411,0.351665,0.0190295,0.090189,0.951831,0,0
44,42,-60,60,-30,30,35.75,0,0,0,5,CHI,2,33.25,39,39,27.5,27.5,33.25,2,2,39,39,39,35,35,39,20,39,39,20,20,20,144.1561653,SHOT,20001,0,8475683,Sergei Bobrovsky,0,120,51,4,FLA,2,1,190,0,0,SHOT,0,0,HOME,81,-81,0,0,HOMEZONE,1,2,98,71,C,2025,R,Connor Bedard,8484144,69,69,77.8,80,69,77.25,69,69,1,4,80,80,69,80,69,69,69,80,69,69,69,69,45.97102193,45.97102193,0,0,0,41.72529209,0,0,0,0,1,0,0,0,SLAP,1,5.544467897,AWAY,CHI,1766,49,69,26,49,-60,60,0.168957,0.00563737,0.459347,0.306525,0.0213052,0.0382287,0.708859,-30,30
45,62,35,35,-31,31,6.6,0,0,0,5,CHI,2,21.8,41.5,41.5,8.666666667,8.666666667,21.8,2,3,54,54,54,9,9,54,8,29,29,8,8,8,57.07889277,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,193,1,0,HIT,0,0,AWAY,92,92,-28,-28,AWAYZONE,0,2,3,0,D,2025,R,Seth Jones,8477495,19,19,28.4,15,15,37.33333333,37.33333333,28.4,2,3,65,19,19,65,65,65,6,11,11,6,6,6,-29.85901616,29.85901616,0,0,0,62.2655603,0,1,0,0,0,0,0,0,SLAP,1,28.53944639,HOME,FLA,1889,-2,192,2,2,35,35,0.226376,0.0230353,0.38125,0.30652,0.0244166,0.0384026,0.669757,-31,-31
46,56,-41,41,-29,29,-13,0,0,0,5,CHI,2,56.8,98,81,29.33333333,29.33333333,50,2,3,102,102,81,46,46,81,21,94,81,21,21,21,20.39607805,MISS,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,202,0,0,BLOCK,0,0,AWAY,-61,61,-25,25,HOMEZONE,0,2,8,0,C,2025,L,Ryan Donato,8477987,37,37,37,44,44,32.33333333,32.33333333,37,2,3,45,45,45,37,37,45,25,43,43,25,25,25,31.13897244,31.13897244,0,0,0,56.08029957,0,0,0,0,1,0,0,0,SLAP,0,1.699673171,AWAY,CHI,1972,4,81,12,10,-41,41,0.147563,0.013981,0.445774,0.321642,0.0231037,0.0479361,0.626117,-29,29
47,6.708203933,-83,83,-3,3,0,0,0,0,5,CHI,2,16.2,18,15,15,15,15,2,3,21,21,15,15,15,15,15,15,15,15,15,15,83.05419917,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,213,0,0,FAC,0,0,AWAY,0,0,0,0,HOMEZONE,0,2,59,0,L,2025,L,Tyler Bertuzzi,8477479,15,15,15,15,15,15,15,15,2,3,15,15,15,15,15,15,15,15,15,15,15,15,26.56505118,26.56505118,0,0,0,6.708203933,0,1,0,0,0,0,0,0,TIP,1,5.536946611,AWAY,CHI,2105,0,15,15,2,-83,83,0.149066,0.195974,0.323979,0.238234,0.0191646,0.0735822,0.828197,-3,3
48,5,84,84,0,0,-19,0,0,0,5,CHI,2,36.2,34,34,37.66666667,37.66666667,36.2,2,3,43,35,35,43,43,43,29,33,33,29,29,29,66.85057965,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,217,1,0,HIT,0,0,HOME,29,29,38,38,AWAYZONE,0,2,23,0,C,2025,L,Carter Verhaeghe,8477409,16,16,17.2,20,20,15.33333333,15.33333333,17.2,2,3,20,20,20,19,19,20,11,20,20,11,11,11,0,0,0,0,0,5,0,0,0,0,1,0,0,0,WRIST,1,6.077325423,HOME,FLA,2178,-18,71,11,12,84,84,0.160309,0.214735,0.337451,0.151988,0.0181725,0.117344,0.95821,0,0
49,14,-77,77,-7,7,9.4,0,0,0,5,CHI,2,37.6,29,29,43.33333333,43.33333333,37.6,2,3,47,29,29,47,47,47,29,29,29,39,39,29,160.3807969,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,220,0,0,BLOCK,0,0,HOME,82,-82,14,-14,HOMEZONE,1,2,98,0,C,2025,R,Connor Bedard,8484144,69,69,47,19,19,65.66666667,65.66666667,47,2,3,71,20,20,71,71,71,18,18,18,57,57,18,30.25643716,30.25643716,30.25643716,3.361826352,0,13.89244399,0,0,0,0,1,0,0,0,SNAP,1,17.82008854,AWAY,CHI,2206,-11,99,9,21,-77,77,0.119933,0.143726,0.306512,0.354664,0.0278837,0.0472824,0.847986,-7,7
50,67,35,35,-39,39,-8,0,0,0,5,CHI,2,28,40,40,20,20,28,2,3,41,41,41,20,20,41,20,39,39,20,20,20,116.4817582,MISS,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,221,1,0,SHOT,0,0,AWAY,-77,-77,-7,-7,AWAYZONE,0,2,17,98,,2025,R,Evan Rodrigues,8478542,10,10,20,20,20,20,20,20,2,3,20,20,20,20,20,20,20,20,20,20,20,20,-35.83765295,35.83765295,0,0,0,66.61080993,0,0,0,0,1,0,0,0,WRIST,0,5.546750392,HOME,FLA,2227,0,120,21,18,35,35,0.21563,0.00655177,0.436371,0.303273,0.0216339,0.0165415,0.704206,-39,-39
51,28,84,84,-28,28,8.8,0,0,0,5,CHI,2,25.2,10.5,10.5,35,35,25.2,2,3,43,11,11,43,43,43,10,10,10,20,20,10,182.6499384,SHOT,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,223,1,0,HIT,0,0,AWAY,-96,-96,3,3,AWAYZONE,0,2,2,0,D,2025,R,Jeff Petry,8473507,35,35,34,35.5,35.5,33,33,34,2,3,36,36,36,35,35,36,30,35,35,30,30,30,-79.87532834,79.87532834,0,0,0,28.44292531,0,1,0,0,0,0,0,0,WRIST,1,26.09284834,HOME,FLA,2252,20,145,7,2,84,84,0.154279,0.0252466,0.377182,0.364409,0.0193268,0.0595565,0.759044,-28,-28
52,28,-65,65,14,14,0,0,0,0,5,CHI,2,20,20,20,20,20,20,2,3,20,20,20,20,20,20,20,20,20,20,20,20,85.37564055,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,230,0,0,FAC,0,0,HOME,20,-20,22,-22,HOMEZONE,1,2,34,0,,2025,L,Colton Dach,8482703,13,13,20,20,20,20,20,20,2,3,20,20,20,20,20,20,20,20,20,20,20,20,-30.25643716,30.25643716,0,0,0,27.78488798,0,0,0,0,1,0,0,0,SNAP,1,1.153724872,AWAY,CHI,2347,0,74,74,26,-65,65,0.162731,0.074377,0.391675,0.31063,0.0202092,0.0403772,0.765137,14,-14
53,35,77,77,33,33,-5.4,0,0,0,5,CHI,2,35.8,41,41,32.33333333,32.33333333,35.8,2,3,41,41,41,41,41,41,20,41,41,20,20,20,143.2654878,MISS,20001,0,8481519,Spencer Knight,0,0,0,5,FLA,2,1,231,1,0,SHOT,0,0,AWAY,-65,-65,14,14,AWAYZONE,1,2,17,34,,2025,R,Evan Rodrigues,8478542,15,15,30.4,27.5,27.5,32.33333333,32.33333333,30.4,2,3,40,35,35,40,40,40,20,20,20,20,20,20,70.01689348,70.01689348,0,0,0,35.11409973,0,1,0,0,0,0,0,0,WRIST,0,5.51021107,HOME,FLA,2373,0,100,26,2,77,77,0.156948,0.0154549,0.468439,0.296475,0.0211737,0.0415099,0.739594,33,33
54,94,3,3,-37,37,0,0,0,0,5,CHI,2,26.2,24,22,27.66666667,22,22,2,3,39,25,22,39,22,22,22,23,22,22,22,22,88.52683209,SHOT,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,234,0,0,FAC,0,0,HOME,69,69,22,22,Neu. Zone,1,2,48,0,D,2025,L,Matt Grzelcyk,8476891,22,22,23.4,22,22,24.33333333,22,22,2,3,29,22,22,29,22,22,22,22,22,22,22,22,-23.2789492,23.2789492,0,0,0,93.62157871,0,0,0,0,1,0,0,0,WRIST,1,4.023946913,AWAY,CHI,2397,0,22,22,2,3,3,0.179976,0.00605114,0.287952,0.49239,0.0206428,0.0129879,0.8551,-37,-37
55,22,78,78,19,19,-3.6,0,0,0,5,CHI,2,26,26,26,26,26,26,2,3,26,26,26,26,26,26,26,26,26,26,26,26,21.1896201,MISS,20001,0,8475683,Sergei Bobrovsky,0,0,0,5,FLA,2,1,242,0,0,HIT,0,0,AWAY,98,98,12,12,HOMEZONE,0,3,16,0,C,2025,L,Jason Dickinson,8477450,26,26,22.4,26,26,20,20,22.4,2,3,26,26,26,26,26,26,8,26,26,8,8,8,59.93141718,59.93141718,0,0,0,21.9544984,0,0,0,1,0,0,0,0,SNAP,0,2.648702513,AWAY,CHI,2426,-18,26,8,8,78,78,0.127732,0.0314057,0.460332,0.32537,0.0160858,0.0390739,0.747274,19,19
